biological_target,scoring_function,n_cohorts,n_pair_records,n_cohorts_with_censoring,equal_weight_cohort_rrl_median_lower_bound,biological_target_rrl_summary_status
ADRB2,vina,1,3,0,6.815,FINITE_ALL_COHORTS
ADRB2,vinardo,1,3,0,7.282500000000001,FINITE_ALL_COHORTS
ESR1,vina,2,7,0,6.547550000000001,FINITE_ALL_COHORTS
ESR1,vinardo,2,7,0,7.528499999999999,FINITE_ALL_COHORTS
IDH1,vina,1,6,1,19.83,CENSORING_PRESENT_TARGET_MEDIAN_LOWER_BOUND
IDH1,vinardo,1,6,1,26.107,CENSORING_PRESENT_TARGET_MEDIAN_LOWER_BOUND
MAPK1,vina,1,6,0,1.2365,FINITE_ALL_COHORTS
MAPK1,vinardo,1,6,0,1.6955000000000005,FINITE_ALL_COHORTS
PPARG,vina,1,6,0,1.1590000000000003,FINITE_ALL_COHORTS
PPARG,vinardo,1,6,0,1.4119999999999995,FINITE_ALL_COHORTS
TP53,vina,1,1,0,0.928,FINITE_ALL_COHORTS
TP53,vinardo,1,1,0,1.2870000000000004,FINITE_ALL_COHORTS
VDR,vina,1,1,0,0.875,FINITE_ALL_COHORTS
VDR,vinardo,1,1,0,0.8840000000000012,FINITE_ALL_COHORTS
